,Diagnostic,Regula ML,Număr pacienți,Interpretarea clinică
0,Anemia of Chronic Disease,RDW <= 15.05 AND RBC <= 4.49 AND Hb <= 12.05 AND MCHC > 30.57 AND HCT <= 36.85 AND PLATELETS <= 778280.50 AND MCV > 71.65 AND Age <= 66.50,807,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară MedieC > 30.57 și Concentrație Medie de Hemoglobină Eritrocitară > 30.57 și hematocritul <= 36.85 și numărul de trombocite <= 778280.50 și Volumul Erotricitar Mediu > 71.65 și vârsta <= 66.50
1,Anemia of Chronic Disease,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender <= 0.50 AND HCT <= 39.99 AND MCHC > 30.75 AND Hb <= 12.95 AND PLATELETS <= 616466.50,204,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul <= 0.50 și hematocritul <= 39.99 și Hemoglobină Eritrocitară MedieC > 30.75 și Concentrație Medie de Hemoglobină Eritrocitară > 30.75 și nivelul hemoglobinei <= 12.95 și numărul de trombocite <= 616466.50
2,Anemia of Chronic Disease,RDW <= 15.05 AND RBC <= 4.49 AND Hb <= 12.05 AND MCHC > 30.57 AND HCT > 36.85 AND Gender <= 0.50 AND MCV > 74.90,42,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară MedieC > 30.57 și Concentrație Medie de Hemoglobină Eritrocitară > 30.57 și hematocritul > 36.85 și genul <= 0.50 și Volumul Erotricitar Mediu > 74.90
3,Anemia of Chronic Disease,RDW <= 15.05 AND RBC <= 4.49 AND Hb <= 12.05 AND MCHC <= 30.57 AND MCV > 76.12,37,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară MedieC <= 30.57 și Concentrație Medie de Hemoglobină Eritrocitară <= 30.57 și Volumul Erotricitar Mediu > 76.12
4,Anemia of Chronic Disease,RDW <= 15.05 AND RBC <= 4.49 AND Hb <= 12.05 AND MCHC > 30.57 AND HCT <= 36.85 AND PLATELETS <= 778280.50 AND MCV > 71.65 AND Age > 66.50 AND WBC <= 11720.00,14,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară MedieC > 30.57 și Concentrație Medie de Hemoglobină Eritrocitară > 30.57 și hematocritul <= 36.85 și numărul de trombocite <= 778280.50 și Volumul Erotricitar Mediu > 71.65 și vârsta > 66.50 și numărul de leucocite - White Blood Cells <= 11720.00
5,Anemia of Chronic Disease,RDW <= 15.05 AND RBC <= 4.49 AND Hb <= 12.05 AND MCHC > 30.57 AND HCT <= 36.85 AND PLATELETS <= 778280.50 AND MCV <= 71.65 AND RDW > 13.98,13,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară MedieC > 30.57 și Concentrație Medie de Hemoglobină Eritrocitară > 30.57 și hematocritul <= 36.85 și numărul de trombocite <= 778280.50 și Volumul Erotricitar Mediu <= 71.65 și variabilitatea dimensiunii eritrocitelor > 13.98
6,Anemia of Chronic Disease,RDW <= 15.05 AND RBC <= 4.49 AND Hb > 12.05 AND Gender <= 0.50 AND HCT <= 39.99 AND MCHC <= 30.75 AND MCV > 76.40,12,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei > 12.05 și genul <= 0.50 și hematocritul <= 39.99 și Hemoglobină Eritrocitară MedieC <= 30.75 și Concentrație Medie de Hemoglobină Eritrocitară <= 30.75 și Volumul Erotricitar Mediu > 76.40
7,Anemia of Chronic Disease,RDW <= 15.05 AND RBC <= 4.49 AND Hb <= 12.05 AND MCHC <= 30.57 AND MCV <= 76.12 AND RBC <= 3.81 AND MCH > 27.10,7,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells <= 4.49 și nivelul hemoglobinei <= 12.05 și Hemoglobină Eritrocitară MedieC <= 30.57 și Concentrație Medie de Hemoglobină Eritrocitară <= 30.57 și Volumul Erotricitar Mediu <= 76.12 și numărul de eritrocite - Red Blood Cells <= 3.81 și Hemoglobină Eritrocitară Medie > 27.10
8,Bacterial Infections,RDW <= 15.05 AND RBC > 4.49 AND Hb > 11.95 AND WBC > 11010.00 AND LYMP <= 45.40 AND MONO <= 8.20,614,variabilitatea dimensiunii eritrocitelor <= 15.05 și numărul de eritrocite - Red Blood Cells > 4.49 și nivelul hemoglobinei > 11.95 și numărul de leucocite - White Blood Cells > 11010.00 și proportia limfocitelor <= 45.40 și proporția monocitelor <= 8.20
9,Bacterial Infections,RDW > 15.05 AND HCT > 36.95 AND LYMP <= 44.10 AND WBC > 11000.00 AND Hb > 11.45 AND MONO <= 9.75,154,variabilitatea dimensiunii eritrocitelor > 15.05 și hematocritul > 36.95 și proportia limfocitelor <= 44.10 și numărul de leucocite - White Blood Cells > 11000.00 și nivelul hemoglobinei > 11.45 și proporția monocitelor <= 9.75
